"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","genename","ensmbl"
"105371743",83.3252647390124,1.04819977888688,0.132498003024367,8.03029517074096e-16,6.881397130914e-15,"small nucleolar RNA host gene 30",NA
"170394",329.476944328062,1.71190600445661,0.219386780575537,8.16661447948416e-16,6.99494908121489e-15,"PWWP domain containing 2B","ENSG00000171813"
"91404",575.694450342495,1.02420104364644,0.129508361744561,8.50958510601732e-16,7.28531565906303e-15,"SEC14 and spectrin domain containing 1","ENSG00000187231"
"768",313.126450700145,3.62068047682184,0.472595269460487,8.96549797168374e-16,7.6613496859935e-15,"carbonic anhydrase 9","ENSG00000107159"
"29781",1407.39037804733,1.11255724210145,0.140522642364516,9.01500567908035e-16,7.70007275770379e-15,"non-SMC condensin II complex subunit H2","ENSG00000025770"
"1284",2652.87126001987,1.75062471337533,0.225386995778214,9.1908526789652e-16,7.84662104121417e-15,"collagen type IV alpha 2 chain","ENSG00000134871"
"6804",101.718020728748,1.33882100225038,0.171010156424275,9.21840402458247e-16,7.86648566484352e-15,"syntaxin 1A","ENSG00000106089"
"57568",461.532187876546,1.7530910116519,0.225122680208714,9.71403636143655e-16,8.28173462123587e-15,"signal induced proliferation associated 1 like 2","ENSG00000116991"
"2495",22584.2093154486,1.27626988063574,0.163612449123589,9.90546636114442e-16,8.43319352137488e-15,"ferritin heavy chain 1","ENSG00000167996"
"5832",817.648810191148,1.01215263501589,0.12771086009848,9.92810233730991e-16,8.44854825404815e-15,"aldehyde dehydrogenase 18 family member A1","ENSG00000059573"
"388685",236.215697234524,1.21252175581314,0.15422072688555,1.02040575898548e-15,8.66330622191831e-15,"long intergenic non-protein coding RNA 1138","ENSG00000274020"
"389",1438.63488099077,1.05544588830271,0.133404365018919,1.03716543374799e-15,8.80152773814608e-15,"ras homolog family member C","ENSG00000155366"
"23094",533.468929266833,1.02122263933339,0.129860887496345,1.1011872036445e-15,9.31898700816941e-15,"signal induced proliferation associated 1 like 3","ENSG00000105738"
"6181",8229.58518509669,1.36795482934395,0.173934062443431,1.13015564459231e-15,9.55093339037879e-15,"ribosomal protein lateral stalk subunit P2","ENSG00000177600"
"80201",744.961338092048,2.33483079000344,0.302830505274487,1.14605974862122e-15,9.67198585647059e-15,"hexokinase domain containing 1","ENSG00000156510"
"389813",57.6328973722676,1.70996179056963,0.220839750601145,1.17283566496617e-15,9.87526554398839e-15,"apical junction component 1 homolog","ENSG00000232434"
"8038",67.6797239387906,2.69478467116066,0.350927111206002,1.17899250504611e-15,9.9225565365109e-15,"ADAM metallopeptidase domain 12","ENSG00000148848"
"348262",1144.18320924872,1.33598969066263,0.17132240066209,1.2683972952562e-15,1.06457257450114e-14,"MAPK regulated corepressor interacting protein 1","ENSG00000225663"
"57608",290.772356273299,1.54776890518161,0.198982734437703,1.30738494116742e-15,1.096793835523e-14,"junctional cadherin 5 associated","ENSG00000165757"
"101929357",18.3815558766118,1.33107647714396,0.170376022854585,1.42718480545245e-15,1.19456799304142e-14,"uncharacterized LOC101929357",NA
"283554",81.240207780147,1.48310414333947,0.19133815718188,1.4518412873167e-15,1.2146520911291e-14,"G protein-coupled receptor 137C","ENSG00000180998"
"8878",16064.7423492382,1.42994386120636,0.184844684957973,1.57941082470403e-15,1.31717985399023e-14,"sequestosome 1","ENSG00000161011"
"6623",295.016242865066,2.68200883562251,0.350585621886126,1.65928423158802e-15,1.38190909881553e-14,"synuclein gamma","ENSG00000173267"
"100505666",69.3935320091492,1.4780529647221,0.191023688859849,1.66306514563779e-15,1.38443011489086e-14,"DCST1 antisense RNA 1","ENSG00000232093"
"23753",844.596875431574,1.60298220996734,0.207398751976957,1.70665473592764e-15,1.41997089491039e-14,"stromal cell derived factor 2 like 1","ENSG00000128228"
"10755",1050.94254688305,1.16924061629982,0.149940561294754,1.90355803158448e-15,1.57321960810159e-14,"GIPC PDZ domain containing family member 1","ENSG00000123159"
"26986",13051.5783103255,1.15910620274192,0.149244493165204,2.01012836154678e-15,1.65607883496837e-14,"poly(A) binding protein cytoplasmic 1","ENSG00000070756"
"84034",193.847702111137,2.14258299481396,0.28004552941879,2.04362541223547e-15,1.68065996732163e-14,"elastin microfibril interfacer 2","ENSG00000132205"
"8767",273.569350963302,1.19008553869248,0.153435691792105,2.05280502339495e-15,1.68745351162153e-14,"receptor interacting serine/threonine kinase 2","ENSG00000104312"
"401561",156.33334973194,2.31007632030978,0.302845179985566,2.16211813342772e-15,1.77413482583855e-14,"long intergenic non-protein coding RNA 1451","ENSG00000279141"
"100302739",108.971368951341,1.37085723249776,0.177424615664547,2.27609156629756e-15,1.86266245648344e-14,"PCNA antisense RNA 1",NA
"6188",9440.6842193354,1.20740426059395,0.155494105283538,2.5256456141081e-15,2.05589344226423e-14,"ribosomal protein S3","ENSG00000149273"
"57082",292.51052302116,1.20125117334335,0.155514001185368,2.59286870058952e-15,2.10967837029801e-14,"kinetochore scaffold 1","ENSG00000137812"
"8933",893.16882996762,1.19352855240819,0.154099439708791,2.59690526700612e-15,2.11202694080161e-14,"retrotransposon Gag like 8C","ENSG00000134590"
"7922",2628.07810133549,1.21721430808645,0.15729559668423,2.60931900874302e-15,2.12024487949366e-14,"solute carrier family 39 member 7","ENSG00000112473"
"100532742",178.623142872116,1.38753640706053,0.180387156272684,2.77309506320502e-15,2.25133146510596e-14,"PIR-FIGF readthrough",NA
"4323",1290.08400506062,1.60930535468859,0.209824674580909,2.87163071305402e-15,2.32823957680018e-14,"matrix metallopeptidase 14","ENSG00000157227"
"404093",400.883867843416,1.09099033639926,0.14121146141249,3.00305073986764e-15,2.43049906509164e-14,"CUE domain containing 1","ENSG00000180891"
"10437",3611.833976964,1.75342863863174,0.228894932515758,3.23302322998662e-15,2.61202105567418e-14,"IFI30 lysosomal thiol reductase","ENSG00000216490"
"283050",61.1882285908348,2.16031692744351,0.285331135049871,3.38656611951913e-15,2.72767106223023e-14,"ZMIZ1 antisense RNA 1","ENSG00000224596"
"7429",1494.07654126705,1.9619713368987,0.257433165505633,3.5020495922685e-15,2.81944930786579e-14,"villin 1","ENSG00000127831"
"10184",300.34298052075,1.89035797024867,0.248568540535334,3.56340219908588e-15,2.86382135597432e-14,"LHFPL tetraspan subfamily member 2","ENSG00000145685"
"6626",915.870654848696,1.05591446887532,0.136399264022583,3.56821911951e-15,2.86643814132465e-14,"small nuclear ribonucleoprotein polypeptide A","ENSG00000077312"
"441212",104.473277680384,1.16634258306768,0.151478088495513,3.6094471073288e-15,2.89702301918646e-14,"RP9 pseudogene","ENSG00000291146"
"9242",254.943070446039,2.65289137812947,0.351522671059627,3.61402505069639e-15,2.89943014552156e-14,"musculin","ENSG00000178860"
"4602",19.8077246087263,1.8748948360104,0.246691430630652,3.78081668495911e-15,3.02795105113777e-14,"MYB proto-oncogene, transcription factor","ENSG00000118513"
"80154",225.750390087307,1.32709547483649,0.173362702531576,3.84831368474834e-15,3.07983340936225e-14,"GOLGA2 pseudogene 10","ENSG00000290948"
"9168",6851.68977044577,1.76718167290632,0.231923536234124,3.86790466196767e-15,3.09230305669892e-14,"thymosin beta 10","ENSG00000034510"
"171220",59.7219053546234,1.16140407017109,0.151202793634844,4.31817595842331e-15,3.4432906339768e-14,"DSTN pseudogene 2","ENSG00000290712"
"140606",651.463464543371,2.21839587492308,0.29357471522373,4.31800067387415e-15,3.4432906339768e-14,"selenoprotein M","ENSG00000198832"
"347734",809.2650481866,1.07276725677868,0.139268776900892,4.4095008144868e-15,3.51153828955922e-14,"solute carrier family 35 member B2","ENSG00000157593"
"4359",241.938242643784,2.48274699566528,0.329830781995722,4.46636579154107e-15,3.55528137823408e-14,"myelin protein zero","ENSG00000158887"
"9486",71.6034114897143,1.78105686737352,0.234643222818956,4.50044325849089e-15,3.58085528591537e-14,"carbohydrate sulfotransferase 10","ENSG00000115526"
"402",347.842325526298,1.4470398714918,0.189681761502009,4.50795966367171e-15,3.58528242804969e-14,"ARF like GTPase 2","ENSG00000213465"
"4069",3837.65980867027,2.44586034788918,0.32478282184144,4.57285867279055e-15,3.63532366524353e-14,"lysozyme","ENSG00000090382"
"6596",656.237285176881,1.02084318662968,0.132148264869027,4.58027691244853e-15,3.63964540113391e-14,"helicase like transcription factor","ENSG00000071794"
"5538",2048.92020430122,1.00846750807798,0.13068968516896,4.80588010328977e-15,3.81726566681718e-14,"palmitoyl-protein thioesterase 1","ENSG00000131238"
"8560",748.765618305502,1.18841559874923,0.155350256798107,4.98436527167854e-15,3.94878705129873e-14,"delta 4-desaturase, sphingolipid 1","ENSG00000143753"
"54814",332.451437365293,1.00040531567568,0.1300285924398,5.07486986203095e-15,4.01424954984445e-14,"glutaminyl-peptide cyclotransferase like","ENSG00000011478"
